RR,BApplication,NAP,latitude,longitude,biochar_pH,highestT,Biochar carbon,Biochar.Nitrogen,Biochar.Ash,Biochar C/N,Soil_PH,CEC,Soil Organic Carbon,sand,silt,clay,feedstock,croptype,texture,PyrolysisType
0.08,6,110,-30.36,117.12,8.4,\N,0.3,0.01,0.54,25.33333333,\N,\N,\N,\N,\N,\N,Wood,cereal,Medium,\N
0.08,3,110,-30.36,117.12,8.4,\N,0.3,0.01,0.54,25.33333333,\N,\N,\N,\N,\N,\N,Wood,cereal,Medium,\N
-0.1,0.2,0,-28.75,114.88,\N,650,0.46,0,\N,93.87755102,5.7,\N,6,\N,\N,\N,Wood,cereal,Light,slow
-0.07,0.2,2.5,-28.75,114.88,\N,650,0.46,0,\N,93.87755102,5.7,\N,6,\N,\N,\N,Wood,cereal,Light,slow
-0.11,0.2,5,-28.75,114.88,\N,650,0.46,0,\N,93.87755102,5.7,\N,6,\N,\N,\N,Wood,cereal,Light,slow
0.06,0.75,0,-28.75,114.88,\N,650,0.46,0,\N,93.87755102,5.7,\N,6,\N,\N,\N,Wood,cereal,Light,slow
0.1,0.75,2.5,-28.75,114.88,\N,650,0.46,0,\N,93.87755102,5.7,\N,6,\N,\N,\N,Wood,cereal,Light,slow
-0.07,0.75,5,-28.75,114.88,\N,650,0.46,0,\N,93.87755102,5.7,\N,6,\N,\N,\N,Wood,cereal,Light,slow
0.04,1.5,0,-28.75,114.88,\N,650,0.46,0,\N,93.87755102,5.7,\N,6,\N,\N,\N,Wood,cereal,Light,slow
0.13,1.5,2.5,-28.75,114.88,\N,650,0.46,0,\N,93.87755102,5.7,\N,6,\N,\N,\N,Wood,cereal,Light,slow
0.03,1.5,5,-28.75,114.88,\N,650,0.46,0,\N,93.87755102,5.7,\N,6,\N,\N,\N,Wood,cereal,Light,slow
0.05,3,0,-28.75,114.88,\N,650,0.46,0,\N,93.87755102,5.7,\N,6,\N,\N,\N,Wood,cereal,Light,slow
0.16,3,2.5,-28.75,114.88,\N,650,0.46,0,\N,93.87755102,5.7,\N,6,\N,\N,\N,Wood,cereal,Light,slow
0.02,3,5,-28.75,114.88,\N,650,0.46,0,\N,93.87755102,5.7,\N,6,\N,\N,\N,Wood,cereal,Light,slow
0.2,6,0,-28.75,114.88,\N,650,0.46,0,\N,93.87755102,5.7,\N,6,\N,\N,\N,Wood,cereal,Light,slow
0.21,6,2.5,-28.75,114.88,\N,650,0.46,0,\N,93.87755102,5.7,\N,6,\N,\N,\N,Wood,cereal,Light,slow
0.05,6,5,-28.75,114.88,\N,650,0.46,0,\N,93.87755102,5.7,\N,6,\N,\N,\N,Wood,cereal,Light,slow
0.14,10,0,-28.75,114.88,\N,650,0.46,0,\N,93.87755102,5.7,\N,6,\N,\N,\N,Wood,cereal,Light,slow
0.06,10,2.5,-28.75,114.88,\N,650,0.46,0,\N,93.87755102,5.7,\N,6,\N,\N,\N,Wood,cereal,Light,slow
-0.06,10,5,-28.75,114.88,\N,650,0.46,0,\N,93.87755102,5.7,\N,6,\N,\N,\N,Wood,cereal,Light,slow
0.09,30,\N,34,71.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,\N,\N
0.04,30,0,34,71.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,\N,\N
0.05,30,150,34,71.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,\N,\N
0.28,30,\N,34,71.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,\N,\N
