RR,BApplication,NAP,latitude,longitude,biochar_pH,highestT,Biochar carbon,Biochar.Nitrogen,Biochar.Ash,Biochar C/N,Soil_PH,CEC,Soil Organic Carbon,sand,silt,clay,feedstock,croptype,texture,PyrolysisType
0.93,\N,\N,-43.63,172.5,5.97,300,0.76,0,\N,541.4285714,5.5,14,\N,\N,\N,\N,Wood,grass,Medium,slow
0.67,\N,\N,-43.63,172.5,6.64,300,0.76,0,\N,541.4285714,5.5,14,\N,\N,\N,\N,Wood,grass,Medium,slow
-0.92,1.5,0,-40.35,175.61,\N,\N,0.26,0.03,\N,10.03846154,5.8,2.04,5,\N,\N,\N,Manure,grass,Light,\N
-0.69,5,0,-40.35,175.61,\N,\N,0.26,0.03,\N,10.03846154,5.8,2.04,5,\N,\N,\N,Manure,grass,Light,\N
-0.63,10,0,-40.35,175.61,\N,\N,0.26,0.03,\N,10.03846154,5.8,2.04,5,\N,\N,\N,Manure,grass,Light,\N
0.36,1.5,113,-40.35,175.61,\N,\N,0.26,0.03,\N,10.03846154,5.8,2.04,5,\N,\N,\N,Manure,grass,Light,\N
0.53,5,113,-40.35,175.61,\N,\N,0.26,0.03,\N,10.03846154,5.8,2.04,5,\N,\N,\N,Manure,grass,Light,\N
0.69,10,113,-40.35,175.61,\N,\N,0.26,0.03,\N,10.03846154,5.8,2.04,5,\N,\N,\N,Manure,grass,Light,\N
0.87,\N,\N,-43.63,172.5,5.97,350,0.77,0,\N,1187.692308,5.5,14,\N,\N,\N,\N,Wood,grass,Medium,slow
0.78,\N,\N,-43.63,172.5,6.64,350,0.77,0,\N,1187.692308,5.5,14,\N,\N,\N,\N,Wood,grass,Medium,slow
0.68,\N,\N,-43.63,172.5,5.97,500,0.83,0,\N,375.4545455,5.5,14,\N,\N,\N,\N,Wood,grass,Medium,slow
0.66,\N,\N,-43.63,172.5,6.64,500,0.83,0,\N,375.4545455,5.5,14,\N,\N,\N,\N,Wood,grass,Medium,slow
0,15,\N,-43.63,172.5,7.8,\N,0.77,0,\N,1187.692308,5.5,14,\N,\N,\N,\N,Wood,grass,Medium,slow
0.2,30,\N,-43.63,172.5,7.8,\N,0.77,0,\N,1187.692308,5.5,14,\N,\N,\N,\N,Wood,grass,Medium,slow
-0.19,15,\N,-43.63,172.5,7.8,\N,0.77,0,\N,1187.692308,5.5,14,\N,\N,\N,\N,Wood,grass,Medium,slow
-0.21,30,\N,-43.63,172.5,7.8,\N,0.77,0,\N,1187.692308,5.5,14,\N,\N,\N,\N,Wood,grass,Medium,slow
0.13,15,\N,-43.63,172.5,7.8,\N,0.77,0,\N,1187.692308,5.5,14,\N,\N,\N,\N,Wood,grass,Medium,slow
-0.1,30,\N,-43.63,172.5,7.8,\N,0.77,0,\N,1187.692308,5.5,14,\N,\N,\N,\N,Wood,grass,Medium,slow
0.34,2.28,0,35.5,136.75,9.93,450,0.5,\N,\N,\N,5.62,\N,8.8,\N,\N,\N,Manure,legume,Light,slow
0.9,2.28,0,35.5,136.75,9.93,450,0.5,\N,\N,\N,5.62,\N,8.8,\N,\N,\N,Manure,legume,Light,slow
0.49,2.28,0,35.5,136.75,9.93,450,0.5,\N,\N,\N,5.62,\N,8.8,\N,\N,\N,Manure,legume,Light,slow
0.69,2.28,0,35.5,136.75,9.93,450,0.5,\N,\N,\N,5.62,\N,8.8,\N,\N,\N,Manure,legume,Light,slow
0.19,4.95,0,35.5,136.75,7.76,500,0.5,\N,\N,\N,5.62,\N,8.8,\N,\N,\N,Manure,legume,Light,slow
0.46,4.95,0,35.5,136.75,7.76,500,0.5,\N,\N,\N,5.62,\N,8.8,\N,\N,\N,Manure,legume,Light,slow
0.35,4.95,0,35.5,136.75,7.76,500,0.5,\N,\N,\N,5.62,\N,8.8,\N,\N,\N,Manure,legume,Light,slow
0.52,4.95,0,35.5,136.75,7.76,500,0.5,\N,\N,\N,5.62,\N,8.8,\N,\N,\N,Manure,legume,Light,slow
0.17,30,\N,\N,\N,10.6,300,0.52,\N,\N,\N,7.91,19.3,14.7,0.29,0.6,0.11,Nonwood,forb,Medium,slow
0.36,30,\N,\N,\N,10.6,300,0.52,\N,\N,\N,7.91,19.3,14.7,0.29,0.6,0.11,Nonwood,forb,Medium,slow
0.41,10,100,11.5,105,9.3,550,\N,\N,\N,\N,5.8,\N,\N,\N,\N,\N,Nonwood,vegetable,\N,slow
0.56,20,100,11.5,105,9.3,550,\N,\N,\N,\N,5.8,\N,\N,\N,\N,\N,Nonwood,vegetable,\N,slow
0.75,30,100,11.5,105,9.3,550,\N,\N,\N,\N,5.8,\N,\N,\N,\N,\N,Nonwood,vegetable,\N,slow
0.69,40,100,11.5,105,9.3,550,\N,\N,\N,\N,5.8,\N,\N,\N,\N,\N,Nonwood,vegetable,\N,slow
1.25,50,100,11.5,105,9.3,550,\N,\N,\N,\N,5.8,\N,\N,\N,\N,\N,Nonwood,vegetable,\N,slow
0.1,10,100,11.5,105,9.3,550,\N,\N,\N,\N,5.8,\N,\N,\N,\N,\N,Nonwood,vegetable,\N,slow
0.19,20,100,11.5,105,9.3,550,\N,\N,\N,\N,5.8,\N,\N,\N,\N,\N,Nonwood,vegetable,\N,slow
2.62,30,100,11.5,105,9.3,550,\N,\N,\N,\N,5.8,\N,\N,\N,\N,\N,Nonwood,vegetable,\N,slow
2.76,40,100,11.5,105,9.3,550,\N,\N,\N,\N,5.8,\N,\N,\N,\N,\N,Nonwood,vegetable,\N,slow
2.82,50,100,11.5,105,9.3,550,\N,\N,\N,\N,5.8,\N,\N,\N,\N,\N,Nonwood,vegetable,\N,slow
0.37,10,100,11.5,105,9.3,550,\N,\N,\N,\N,5.8,\N,\N,\N,\N,\N,Nonwood,vegetable,\N,slow
0.53,20,100,11.5,105,9.3,550,\N,\N,\N,\N,5.8,\N,\N,\N,\N,\N,Nonwood,vegetable,\N,slow
0.74,30,100,11.5,105,9.3,550,\N,\N,\N,\N,5.8,\N,\N,\N,\N,\N,Nonwood,vegetable,\N,slow
0.92,40,100,11.5,105,9.3,550,\N,\N,\N,\N,5.8,\N,\N,\N,\N,\N,Nonwood,vegetable,\N,slow
1.25,50,100,11.5,105,9.3,550,\N,\N,\N,\N,5.8,\N,\N,\N,\N,\N,Nonwood,vegetable,\N,slow
-0.02,10,100,11.5,105,9.3,550,\N,\N,\N,\N,5.8,\N,\N,\N,\N,\N,Nonwood,vegetable,\N,slow
0.13,20,100,11.5,105,9.3,550,\N,\N,\N,\N,5.8,\N,\N,\N,\N,\N,Nonwood,vegetable,\N,slow
0.25,30,100,11.5,105,9.3,550,\N,\N,\N,\N,5.8,\N,\N,\N,\N,\N,Nonwood,vegetable,\N,slow
0.29,40,100,11.5,105,9.3,550,\N,\N,\N,\N,5.8,\N,\N,\N,\N,\N,Nonwood,vegetable,\N,slow
0.32,50,100,11.5,105,9.3,550,\N,\N,\N,\N,5.8,\N,\N,\N,\N,\N,Nonwood,vegetable,\N,slow
-0.69,1.5,0,-40.35,175.61,\N,\N,0.45,0.02,\N,23.06122449,5.8,2.04,5,\N,\N,\N,Nonwood,grass,Light,\N
-0.63,5,0,-40.35,175.61,\N,\N,0.45,0.02,\N,23.06122449,5.8,2.04,5,\N,\N,\N,Nonwood,grass,Light,\N
-0.63,10,0,-40.35,175.61,\N,\N,0.45,0.02,\N,23.06122449,5.8,2.04,5,\N,\N,\N,Nonwood,grass,Light,\N
0.15,1.5,113,-40.35,175.61,\N,\N,0.45,0.02,\N,23.06122449,5.8,2.04,5,\N,\N,\N,Nonwood,grass,Light,\N
0.54,5,113,-40.35,175.61,\N,\N,0.45,0.02,\N,23.06122449,5.8,2.04,5,\N,\N,\N,Nonwood,grass,Light,\N
0.84,10,113,-40.35,175.61,\N,\N,0.45,0.02,\N,23.06122449,5.8,2.04,5,\N,\N,\N,Nonwood,grass,Light,\N
-0.37,12,0,32.5,119.75,10.2,400,0.63,0.01,\N,110.877193,7.6,\N,18.3,0.58,0.29,0.14,Nonwood,cereal,Light,slow
-0.08,12,0,28.25,117,10.2,400,0.63,0.01,\N,110.877193,4.4,\N,6.35,0.37,0.35,0.29,Nonwood,cereal,Light,slow
-0.47,12,0,32.5,119.75,10.2,400,0.63,0.01,\N,110.877193,7.6,\N,18.3,0.58,0.29,0.14,Nonwood,cereal,Light,slow
-0.13,12,0,28.25,117,10.2,400,0.63,0.01,\N,110.877193,4.4,\N,6.35,0.37,0.35,0.29,Nonwood,cereal,Light,slow
0.08,2,\N,26.5,127.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Wood,grass,\N,\N
0.1,4,\N,26.5,127.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Wood,grass,\N,\N
0.06,8,\N,26.5,127.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Wood,grass,\N,\N
0.02,12,250,32.5,119.75,\N,400,0.67,0.01,\N,73.2967033,7.6,\N,18.3,0.58,0.29,0.14,Nonwood,cereal,Light,slow
0.04,12,250,28.25,117,\N,400,0.67,0.01,\N,73.2967033,4.4,\N,6.35,0.37,0.35,0.29,Nonwood,cereal,Medium,slow
-0.25,12,250,32.5,119.75,\N,400,0.67,0.01,\N,73.2967033,7.6,\N,18.3,0.58,0.29,0.14,Nonwood,cereal,Medium,slow
0.15,12,250,28.25,117,\N,400,0.67,0.01,\N,73.2967033,4.4,\N,6.35,0.37,0.35,0.29,Nonwood,cereal,Medium,slow
0.68,40,75,-2.75,104.25,7.4,310,0.4,0.01,\N,38.26923077,4.4,\N,\N,\N,\N,\N,Wood,cereal,Medium,slow
0.12,40,75,-2.75,104.25,7.4,310,0.4,0.01,\N,38.26923077,4.4,\N,\N,\N,\N,\N,Wood,legume,Medium,slow
0.31,40,75,-2.75,104.25,7.4,310,0.4,0.01,\N,38.26923077,4.4,\N,\N,\N,\N,\N,Wood,legume,Medium,slow
-0.05,40,75,-2.75,104.25,7.4,310,0.4,0.01,\N,38.26923077,4.4,\N,\N,\N,\N,\N,Wood,cereal,Medium,slow
0.09,40,75,-2.75,104.25,7.4,310,0.4,0.01,\N,38.26923077,4.4,\N,\N,\N,\N,\N,Wood,legume,Medium,slow
0.11,40,75,-2.75,104.25,7.4,310,0.4,0.01,\N,38.26923077,4.4,\N,\N,\N,\N,\N,Wood,legume,Medium,slow
-0.2,8,0,19.5,102,7.5,\N,0.87,\N,\N,\N,7.7,24,28,0.17,0.43,0.4,Wood,cereal,Medium,\N
0.22,37,0,-2.75,104.25,7.4,310,0.4,0.01,\N,38.26923077,4.4,\N,\N,\N,\N,\N,Wood,cereal,Medium,slow
0.38,37,500,-2.75,104.25,7.4,310,0.4,0.01,\N,38.26923077,4.4,\N,\N,\N,\N,\N,Wood,cereal,Medium,slow
0.02,3,0,6.75,-1.5,\N,\N,0.39,0.01,\N,69.63578947,5.64,\N,15.6,0.6,0.37,0.03,Wood,cereal,Light,\N
0.09,3,120,6.75,-1.5,\N,\N,0.39,0.01,\N,69.63578947,5.64,\N,15.6,0.6,0.37,0.03,Wood,cereal,Light,\N
0,3,\N,6.75,-1.5,\N,\N,0.39,0.01,\N,69.63578947,5.64,\N,15.6,0.6,0.37,0.03,Wood,cereal,Light,\N
-0.04,3,0,6.75,-1.5,\N,\N,0.39,0.01,\N,69.63578947,4.22,\N,9.7,0.31,0.53,0.16,Wood,cereal,Medium,\N
-0.06,3,120,6.75,-1.5,\N,\N,0.39,0.01,\N,69.63578947,4.22,\N,9.7,0.31,0.53,0.16,Wood,cereal,Medium,\N
0.05,3,\N,6.75,-1.5,\N,\N,0.39,0.01,\N,69.63578947,4.22,\N,9.7,0.31,0.53,0.16,Wood,cereal,Medium,\N
0.11,10,300,31.5,119.75,10.4,450,0.47,0.01,0.21,79.15254237,6.48,\N,23.5,\N,\N,0.39,Nonwood,cereal,Medium,slow
0.13,40,300,31.5,119.75,10.4,450,0.47,0.01,0.21,79.15254237,6.48,\N,23.5,\N,\N,0.39,Nonwood,cereal,Medium,slow
0.08,10,300,31.5,119.75,10.4,450,0.47,0.01,0.21,79.15254237,6.53,\N,23.2,\N,\N,0.39,Nonwood,cereal,Medium,slow
0.11,40,300,31.5,119.75,10.4,450,0.47,0.01,0.21,79.15254237,6.53,\N,23.2,\N,\N,0.39,Nonwood,cereal,Medium,slow
0.09,10,300,31.5,119.75,10.4,450,0.47,0.01,0.21,79.15254237,6.5,\N,23.5,\N,\N,0.39,Nonwood,cereal,Medium,slow
